venue_idx,name,profile_url,venue_url,address,postcode,lat,lon,hove,sussex,geocode_source
0,terre à terre,https://restaurantsbrighton.co.uk/terre-a-terre/,https://restaurantsbrighton.co.uk/terre-a-terre/,"71 East St, Brighton, The City of Brighton and Hove BN1 1HQ, UK",BN1 1HQ,50.820397,-0.139095,False,False,ONSPD via venue page postcode
1,Kindling,https://restaurantsbrighton.co.uk/kindling-brighton/,https://restaurantsbrighton.co.uk/kindling-brighton/,"69 East Street, Brighton BN1 1HQ",BN1 1HQ,50.820397,-0.139095,False,False,ONSPD via venue page postcode
2,Embers,https://restaurantsbrighton.co.uk/embers-brighton/,https://restaurantsbrighton.co.uk/embers-brighton/,"42 Meeting House Lane, Brighton, BN1 1HB",BN1 1HB,50.822154,-0.140729,False,False,ONSPD via venue page postcode
3,Burnt Orange,https://restaurantsbrighton.co.uk/burnt-orange-brighton/,https://restaurantsbrighton.co.uk/burnt-orange-brighton/,"59 Middle Street, Brighton,East Sussex, BN1 1AL",BN1 1AL,50.821362,-0.142961,False,False,ONSPD via venue page postcode
4,Bonsai Plant Kitchen,https://restaurantsbrighton.co.uk/bonsai-plant-kitchen/,https://restaurantsbrighton.co.uk/bonsai-plant-kitchen/,"44/45 Baker Street Brighton, BN1 4JN",BN1 4JN,50.831726,-0.135307,False,False,ONSPD via venue page postcode
5,Indian Summer,https://restaurantsbrighton.co.uk/indian-summer-brighton-restaurant/,https://restaurantsbrighton.co.uk/indian-summer-brighton-restaurant/,"70 East Street, Brighton BN1 1HQ",BN1 1HQ,50.820397,-0.139095,False,False,ONSPD via venue page postcode
6,Cyan at The Grand Brighton,https://restaurantsbrighton.co.uk/cyan-brighton/,https://restaurantsbrighton.co.uk/cyan-brighton/,"The Grand, 97-99 Kings Rd, Brighton BN1 2FW",BN1 2FW,50.821554,-0.147326,False,False,ONSPD via venue page postcode
7,English's of Brighton,https://restaurantsbrighton.co.uk/englishs-restaurant-brighton/,https://restaurantsbrighton.co.uk/englishs-restaurant-brighton/,"29-31 East Street, Brighton, East Sussex BN1 1HL",BN1 1HL,50.821465,-0.139266,False,False,ONSPD via venue page postcode
8,Furna,https://restaurantsbrighton.co.uk/furna-brighton/,https://restaurantsbrighton.co.uk/furna-brighton/,"6 New Rd, Brighton BN1 1UF",BN1 1UF,50.823502,-0.139568,False,False,ONSPD via venue page postcode
9,Il Bistro,https://restaurantsbrighton.co.uk/il-bistro-brighton/,https://restaurantsbrighton.co.uk/il-bistro-brighton/,"6 Market St, Brighton BN1 1HH",BN1 1HH,50.821460,-0.139763,False,False,ONSPD via venue page postcode
10,Carne,https://restaurantsbrighton.co.uk/carne/,https://restaurantsbrighton.co.uk/carne/,63 Church Road Hove BN3 2BD,BN3 2BD,50.827368,-0.166195,False,False,ONSPD via venue page postcode
11,Wild Flor,https://restaurantsbrighton.co.uk/wild-flor-hove/,https://restaurantsbrighton.co.uk/wild-flor-hove/,"Wild Flor, 42 Church Road, Hove, BN3 2FN",BN3 2FN,50.827157,-0.167623,True,False,ONSPD via venue page postcode
12,Cin Cin,https://restaurantsbrighton.co.uk/cin-cin-brighton/,https://restaurantsbrighton.co.uk/cin-cin-brighton/,"60 Western Rd, Brighton and Hove, Hove BN3 1JD",BN3 1JD,50.825843,-0.160958,False,False,ONSPD via venue page postcode
13,Wabi Sabi,https://restaurantsbrighton.co.uk/wabi-sabi/,https://restaurantsbrighton.co.uk/wabi-sabi/,"121 Church Rd, Hove, Brighton and Hove, Hove BN3 2AF, United Kingdom",BN3 2AF,50.828020,-0.171665,False,False,ONSPD via venue page postcode
